DATE,DESCRIPTION,ORIGINAL_DESCRIPTION,AMOUNT,TRANSACTION_TYPE,CATEGORY,ACCOUNT_NAME,LABELS,NOTES
'5/27/2014','Transfer from Regular Savings','Online Banking transfer from SAV 6666 Confirmation# 14152121894',40.0,credit,Transfer,'Adv Plus Banking - 1234','',''
'5/27/2014','Zipcar','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',15.14,debit,Rental Car & Taxi,'Adv Plus Banking - 1234','',''
'5/27/2014','Suppas Pizza Subs','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',3.25,debit,Restaurants,'Adv Plus Banking - 1234','',''
'5/27/2014','Dunkin Donuts','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',2.66,debit,Coffee Shops,'Adv Plus Banking - 1234','',''
'5/27/2014','Mbcr Cmt Rl','CHECKCARD 0522 MBCR CMT RL TKT 617-222-3200 MA 24445004143100118611830',8.75,debit,Parking,'Adv Plus Banking - 1234','',''
'5/27/2014','Mbcr Cmt Rl','CHECKCARD 0523 MBCR CMT RL TKT 617-222-3200 MA 24445004144100207926270',8.75,debit,Parking,'Adv Plus Banking - 1234','',''
'5/27/2014','Indian Basket','CHECKCARD 0525 INDIAN BASKET LOWELL MA 24733094145207718200078',48.17,debit,Restaurants,'Adv Plus Banking - 1234','',''
'5/27/2014','Macy's','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',21.98,debit,Clothing,'Adv Plus Banking - 1234','',''
4/16/2018,'Indian Basket','Online Banking transfer from SAV 6666 Confirmation# 14152121894',15.89,credit,Coffee Shops,Ernest Perez,,
3/15/2017,'Macy's','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',38.12,credit,Rental Car & Taxi,Timothy Bryant,,
3/2/2018,'Dunkin Donuts','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',21.96,debit,Transfer,John Short,,
1/20/2018,'Dunkin Donuts','MACY'S 310 05/25 #000809807 PURCHASE MACY'S 310 DAN NASHUA NH',39.87,credit,Coffee Shops,Herbert Petersen,,
7/9/2016,'Transfer from Regular Savings','Online Banking transfer from SAV 6666 Confirmation# 14152121894',19.83,debit,Restaurants,Tina Marshall DVM,,
9/25/2015,'Suppas Pizza Subs','CHECKCARD 0524 SUPPAS PIZZA & SUBS LOWELL MA 24013394144001716597429',40.12,credit,Clothing,Stacey Baldwin,,
1/24/2015,'Dunkin Donuts','CHECKCARD 0523 DUNKIN #306848 Q35 MEDFORD MA 24610434144072022257587',13.09,credit,Clothing,Erica Mason,,
3/21/2017,'Suppas Pizza Subs','CHECKCARD 0524 ZIPCAR INC. 866-494-7227 MA 24231914324078',47.21,debit,Clothing,James Tran,,
