DATE,DESCRIPTION,ORIGINAL_DESCRIPTION,AMOUNT,TRANSACTION_TYPE,CATEGORY,ACCOUNT_NAME,LABELS,NOTES
3/06/2022,h,r,3999.0,credit,Transfer,f,,
3/06/2022,f,o,2980.0,credit,Transfer,b,,
3/06/2022,h,q,402.0,debit,Gas & Fuel,f,,
3/06/2022,h,c,3486.0,debit,Utilities,d,,
3/06/2022,o,x,2517.0,debit,Fees & Charges,d,,
3/06/2022,i,v,2072.0,debit,Shopping,d,,
3/06/2022,m,n,893.0,debit,Investments,d,,
10/10/2019,f,d,3597.0,debit,Dentist,d,,
3/04/2022,g,l,3047.0,debit,Loans,a,,
3/04/2022,q,g,3934.0,credit,Credit Card Payment,f,,
3/03/2022,h,w,2467.0,debit,Gas & Fuel,d,,
3/03/2022,f,r,185.0,debit,Restaurants,b,,
3/03/2022,q,v,767.0,debit,Hotel,c,,
3/02/2022,j,q,5133.0,debit,Pharmacy,a,,
3/02/2022,i,a,3849.0,debit,Home Services,f,,
3/02/2022,h,b,513.0,debit,Television,c,,
3/02/2022,s,u,299.0,debit,Newspapers & Magazines,f,,
3/02/2022,n,c,4256.0,debit,Television,e,,
3/02/2022,k,l,3823.0,debit,Restaurants,f,,
3/02/2022,x,e,2597.0,debit,Restaurants,a,,
3/02/2022,w,d,2769.0,debit,Groceries,b,,
3/01/2022,o,u,659.0,debit,Fast Food,e,,
3/01/2022,m,w,2541.0,debit,Gas & Fuel,a,,
3/01/2022,h,n,2299.0,debit,Utilities,b,,
3/01/2022,o,j,6670.0,debit,Mortgage & Rent,c,,
3/01/2022,o,l,2861.0,debit,Restaurants,d,,
3/01/2022,l,j,4160.0,debit,Rental Car & Taxi,e,,
3/01/2022,b,b,504.0,debit,Restaurants,e,,
2/28/2022,t,y,3702.0,debit,Parking,b,,
2/28/2022,s,s,193.0,debit,Gas & Fuel,b,,
2/28/2022,q,i,1743.0,debit,Hotel,b,,
2/28/2022,x,w,3265.0,credit,Paycheck,c,,
2/28/2022,q,p,2331.0,debit,Credit Card Payment,a,,
2/28/2022,s,s,1921.0,debit,Alcohol & Bars,f,,
2/28/2022,i,k,1994.0,debit,Coffee Shops,c,,
2/28/2022,f,v,956.0,debit,Alcohol & Bars,e,,
2/28/2022,n,n,1092.0,credit,Paycheck,c,,
2/28/2022,x,a,5782.0,debit,Music,c,,
2/28/2022,j,u,699.0,debit,Entertainment,e,,
2/28/2022,i,v,918.0,credit,Paycheck,e,,
2/27/2022,m,t,2886.0,debit,Restaurants,b,,
2/27/2022,x,o,1317.0,debit,Misc Expenses,b,,
2/27/2022,r,m,3059.0,debit,Rental Car & Taxi,d,,
2/27/2022,s,f,1577.0,debit,Restaurants,d,,
2/27/2022,r,u,3856.0,debit,Gas & Fuel,f,,
2/27/2022,s,h,729.0,debit,Shopping,c,,
2/27/2022,n,k,1525.0,debit,Pharmacy,c,,
2/27/2022,w,c,150.0,debit,Restaurants,b,,
2/25/2022,g,t,962.0,debit,Pharmacy,b,,
2/25/2022,m,y,3622.0,debit,Restaurants,b,,
2/25/2022,p,q,65.0,debit,Rental Car & Taxi,d,,
2/25/2022,w,n,2831.0,debit,Rental Car & Taxi,c,,
2/25/2022,j,f,368.0,debit,ATM Fee,d,,
2/25/2022,y,j,1593.0,debit,Cash & ATM,f,,
2/25/2022,y,v,3393.0,credit,Paycheck,f,,
2/25/2022,d,v,5941.0,debit,Financial,b,,
2/24/2022,a,h,1379.0,credit,Transfer,c,,
2/24/2022,a,h,102.0,debit,Credit Card Payment,b,,
2/24/2022,d,y,4601.0,debit,Transfer,a,,
2/24/2022,f,x,3524.0,debit,Health Insurance,f,,
2/23/2022,t,w,2001.0,debit,Shopping,a,,
2/22/2022,x,v,21.0,debit,Clothing,c,,
2/22/2022,v,p,4260.0,debit,Credit Card Payment,d,,
2/22/2022,t,l,1635.0,debit,Groceries,b,,
2/22/2022,n,k,2765.0,debit,Entertainment,d,,
2/22/2022,f,q,2602.0,debit,Shopping,f,,
2/22/2022,b,w,376.0,debit,Service Fee,d,,
2/22/2022,d,m,1943.0,debit,Utilities,b,,
2/21/2022,g,p,3723.0,debit,Doctor,f,,
2/21/2022,d,n,5080.0,debit,Business Services,d,,
2/20/2022,o,v,4363.0,debit,Shopping,d,,
2/18/2022,f,t,3724.0,debit,Gym,b,,
2/18/2022,v,d,5358.0,credit,Credit Card Payment,f,,
2/18/2022,x,w,3067.0,credit,Credit Card Payment,f,,
2/18/2022,c,k,1977.0,debit,Newspapers & Magazines,c,,
2/18/2022,d,r,4897.0,debit,Transfer,a,,
